,user,user_name,r_gender,age
281,281,53362,2,4
282,282,53408,2,4
283,283,53422,2,3
284,284,53668,2,4
285,285,53773,2,4
286,286,53780,2,3
287,287,53964,2,3
288,288,54045,2,4
289,289,54067,1,2
290,290,54111,2,4
291,291,54196,2,3
292,292,54275,2,2
293,293,54294,2,3
294,294,54297,1,3
295,295,54688,2,2
296,296,55069,2,1
297,297,55271,1,2
298,298,55326,2,4
299,299,55927,1,4
300,300,56035,1,4
301,301,56158,1,4
302,302,56428,2,4
303,303,56448,2,1
304,304,56467,2,3
305,305,56788,2,3
306,306,56801,2,3
307,307,56897,2,3
308,308,57169,2,3
309,309,57253,2,2
310,310,57383,2,2
311,311,57422,2,2
312,312,57436,2,4
313,313,57493,2,1
314,314,57758,2,4
315,315,57792,2,3
316,316,57823,1,2
317,317,57952,1,4
318,318,57988,2,3
319,319,58053,2,2
320,320,58137,2,3
321,321,58147,2,4
322,322,58193,1,4
323,323,58208,2,3
324,324,58246,2,3
325,325,58257,2,4
326,326,58267,1,2
327,327,58269,1,3
328,328,58278,1,4
329,329,58282,2,1
330,330,58332,2,2
331,331,58333,2,2
332,332,58338,2,2
333,333,58354,2,4
334,334,58367,2,2
335,335,58370,1,2
336,336,58371,2,1
337,337,58382,2,2
338,338,58526,1,3
339,339,58537,2,1
340,340,58558,2,4
341,341,58570,2,3
342,342,58611,2,2
343,343,58624,1,1
344,344,58641,2,1
345,345,58642,2,1
346,346,58643,2,4
347,347,58644,2,4
348,348,58659,1,4
349,349,58686,2,1
350,350,58687,2,1
351,351,58688,2,1
352,352,58689,2,1
353,353,58690,2,1
354,354,58695,2,1
355,355,58728,2,4
356,356,58730,2,2
357,357,58731,2,2
358,358,58748,2,4
359,359,58763,2,1
360,360,58780,2,2
361,361,58781,2,4
362,362,58793,1,4
363,363,58806,2,2
364,364,58832,2,3
365,365,58839,1,3
366,366,58855,2,3
367,367,58874,2,4
368,368,58891,2,4
369,369,58895,2,1
370,370,58954,2,4
371,371,58958,2,1
372,372,58979,2,2
373,373,59016,2,3
374,374,59028,2,3
375,375,59052,1,3
376,376,59083,1,1
377,377,59101,2,1
378,378,59119,1,2
379,379,59126,2,4
380,380,59142,2,2
381,381,59146,2,1
382,382,59193,2,1
383,383,59205,1,2
384,384,59206,2,1
385,385,59223,2,3
386,386,59224,2,3
387,387,59225,2,2
388,388,59229,2,1
389,389,59232,2,4
390,390,59251,2,1
391,391,59270,2,2
392,392,59311,2,1
393,393,59316,2,3
394,394,59317,2,3
395,395,59322,1,3
396,396,59355,2,3
397,397,59381,2,3
398,398,59388,1,3
399,399,59390,2,3
400,400,59401,2,2
401,401,59403,1,2
402,402,59411,1,3
403,403,59424,1,3
404,404,59428,2,1
405,405,59441,2,4
406,406,59468,1,3
407,407,59477,2,1
408,408,59485,2,4
409,409,59506,2,3
410,410,59523,2,3
411,411,59548,1,3
412,412,59568,2,4
413,413,59611,2,1
414,414,59630,2,4
415,415,59647,2,2
416,416,59648,2,3
417,417,59657,2,3
418,418,59673,1,2
419,419,59680,1,3
420,420,59688,1,1
421,421,59696,2,1
422,422,59704,1,3
423,423,59720,1,3
424,424,59728,2,2
425,425,59734,2,1
426,426,59738,2,3
427,427,59755,1,3
428,428,59778,1,4
429,429,59779,2,2
430,430,59785,2,2
431,431,59788,1,1
432,432,59789,1,4
433,433,59790,2,2
434,434,59793,1,1
435,435,59796,2,1
436,436,59797,2,1
437,437,59798,2,1
438,438,59800,2,3
439,439,59803,2,2
440,440,59804,2,4
441,441,59805,2,1
442,442,59806,2,2
443,443,59808,2,1
444,444,59809,2,2
445,445,59810,2,2
446,446,59811,2,1
447,447,59812,1,2
448,448,59813,2,2
449,449,59814,2,3
450,450,59815,2,3
451,451,59816,2,3
452,452,59817,1,4
453,453,59818,2,2
454,454,59819,1,3
455,455,59823,2,3
456,456,59826,2,2
457,457,59827,2,2
458,458,59828,2,2
459,459,59829,2,2
460,460,59831,2,2
461,461,59832,2,4
462,462,59834,2,1
463,463,59835,1,1
464,464,59838,2,1
465,465,59839,2,1
466,466,59841,2,1
467,467,59843,2,4
468,468,59847,2,1
469,469,59851,1,1
470,470,59855,2,1
471,471,59858,2,4
472,472,59859,2,1
473,473,59862,2,1
474,474,59864,1,1
475,475,59869,2,1
476,476,59871,2,4
477,477,59875,2,1
478,478,59878,2,2
479,479,59884,2,2
480,480,59893,2,1
481,481,59901,1,2
482,482,59918,2,4
483,483,59927,1,1
484,484,59929,2,1
485,485,59931,2,2
486,486,59944,2,4
487,487,59950,2,1
488,488,59954,2,1
489,489,59956,2,3
490,490,59958,2,2
491,491,59961,1,4
492,492,59962,2,4
493,493,59964,1,2
494,494,59965,1,4
495,495,59966,2,1
496,496,59967,2,3
497,497,59969,2,2
498,498,59970,2,1
499,499,59972,2,1
500,500,59974,1,2
501,501,59975,1,2
502,502,59976,2,1
503,503,59978,2,1
504,504,59981,2,4
505,505,59982,1,2
506,506,59983,2,1
507,507,59985,2,1
508,508,60008,2,4
509,509,60013,2,4
510,510,60016,2,4
511,511,60018,2,1
512,512,60036,1,1
513,513,60043,2,4
514,514,60047,2,2
515,515,60048,2,1
516,516,60051,2,1
517,517,60052,2,4
518,518,60053,2,2
519,519,60057,1,3
520,520,60066,2,4
521,521,60068,2,1
522,522,60071,1,4
523,523,60072,2,4
524,524,60077,2,4
525,525,60143,2,4
526,526,60192,2,1
527,527,60193,2,1
528,528,60194,2,2
529,529,60200,1,1
530,530,60201,2,1
531,531,60202,2,1
532,532,60204,2,1
533,533,60205,2,1
534,534,60206,1,1
535,535,60208,1,1
536,536,60209,2,4
537,537,18887,2,2
538,538,53554,2,1
